date,state,shape
1971-10-10,NC,oval
1972-10-10,KY,circle
1972-10-10,MI,disk
1973-10-10,CT,disk
1974-10-10,MA,other
1974-10-10,KS,light
1975-10-10,SC,light
1976-10-10,WA,oval
1977-10-10,TX,other
1977-10-10,KY,light
1978-10-10,NY,rectangle
1979-10-10,NY,chevron
1979-10-10,CA,oval
1979-10-10,CO,unknown
1980-10-10,TX,sphere
1980-10-10,TX,unknown
1980-10-10,NH,light
1984-10-10,TX,circle
1984-10-10,MI,other
1984-10-10,NY,formation
1988-10-10,WI,triangle
1988-10-10,ME,unknown
1988-10-10,CO,light
1988-10-10,WA,unknown
1989-10-10,CA,disk
1989-10-10,WA,triangle
1990-10-10,GA,triangle
1991-10-10,NC,unknown
1991-10-10,PA,triangle
1992-10-10,FL,formation
1992-10-10,TX,unknown
1992-10-10,TN,cigar
1992-10-10,TX,unknown
1993-10-10,IL,light
1993-10-10,TN,other
1994-10-10,NY,rectangle
1994-10-10,AR,light
1995-10-10,WI,NA
1995-10-10,CA,NA
1996-10-10,MO,triangle
1996-10-10,SC,light
1996-10-10,OH,cylinder
1997-10-10,IN,delta
1997-10-10,AZ,sphere
1997-10-10,GA,triangle
1997-10-10,MN,other
1998-10-10,CA,changing
1998-10-10,AZ,fireball
1998-10-10,IL,cylinder
1998-10-10,NV,cigar
1998-10-10,NV,circle
1998-10-10,WA,triangle
1998-10-10,NC,light
1998-10-10,TN,fireball
1999-10-10,CA,changing
1999-10-10,KS,unknown
1999-10-10,TX,other
1999-10-10,CA,fireball
1999-10-10,WA,sphere
1999-10-10,CA,circle
1999-10-10,NV,light
1999-10-10,NE,sphere
1999-10-10,OR,chevron
1999-10-10,MI,oval
2000-10-10,MO,oval
2000-10-10,FL,other
2000-10-10,MO,light
2000-10-10,KY,light
2000-10-10,WA,unknown
2000-10-10,WA,diamond
2001-10-10,IA,triangle
2001-10-10,CA,circle
2001-10-10,IA,rectangle
2001-10-10,CA,changing
2001-10-10,AZ,triangle
2001-10-10,VA,triangle
2002-10-10,WI,flash
2002-10-10,OR,unknown
2002-10-10,WA,sphere
2002-10-10,OH,other
2002-10-10,OR,circle
2003-10-10,CA,oval
2003-10-10,IN,sphere
2003-10-10,VA,other
2003-10-10,ID,light
2003-10-10,MI,oval
2003-10-10,SC,formation
2003-10-10,NM,light
2003-10-10,WI,sphere
2004-10-10,NJ,triangle
2004-10-10,IN,sphere
2004-10-10,IN,oval
2004-10-10,WV,circle
2004-10-10,CA,unknown
2004-10-10,IL,sphere
2004-10-10,NY,circle
2004-10-10,MN,flash
2004-10-10,OH,light
2004-10-10,MO,light
2004-10-10,WI,sphere
2005-10-10,WA,other
2005-10-10,AZ,other
2005-10-10,FL,oval
2005-10-10,CA,egg
2005-10-10,PA,triangle
2005-10-10,TN,unknown
2005-10-10,FL,other
2005-10-10,WA,light
2005-10-10,NC,light
2005-10-10,MN,disk
2006-10-10,TX,diamond
2006-10-10,CA,triangle
2006-10-10,GA,unknown
2006-10-10,TN,light
2006-10-10,VA,triangle
2006-10-10,OK,other
2006-10-10,GA,light
2006-10-10,TX,disk
2006-10-10,OH,unknown
2007-10-10,OR,light
2007-10-10,GA,changing
2007-10-10,CO,changing
2007-10-10,FL,sphere
2007-10-10,CA,oval
2007-10-10,NY,triangle
2007-10-10,PA,circle
2007-10-10,TX,flash
2007-10-10,GA,sphere
2007-10-10,GA,unknown
2007-10-10,FL,unknown
2007-10-10,FL,oval
2007-10-10,TX,formation
2007-10-10,MN,light
2007-10-10,CO,circle
2007-10-10,PA,unknown
2007-10-10,TX,other
2007-10-10,CO,triangle
2008-10-10,MN,light
2008-10-10,NY,circle
